	precision	recall	f1	accuracy
ngrams	0.3198657824787829	0.340258378200335	0.2217407698698353	0.4117647058823529
ffn	0.0789386347727367	0.2368159043182101	0.118407952159105	0.2352941176470588
rnn	0.2369185990989596	0.2882081727450886	0.2497503791458692	0.4705882352941176
gru	0.772992742296525	0.499671031485816	0.5723298958376385	0.6470588235294118
cnn	0.5861204483001056	0.3448362891768126	0.4166258600325007	0.2352941176470588
gbert	0.3198657824787829	0.2068849477642498	0.2340393008792634	0.3529411764705882
byt5	0.5172123694106247	0.5172123694106247	0.5172123694106247	0.8823529411764706
llama-instruct-base	0.4580083933310722	0.435889144429786	0.4463666833830268	0.7647058823529411
llama-instruct+comp	0.4678757226776642	0.4950931205093385	0.4786597612446009	0.8235294117647058
llama-instruct+comp+par	0.4678757226776642	0.4950931205093385	0.4786597612446009	0.8235294117647058
